post_id,platform,post_type,caption_length,likes,comments,shares,reach,impressions,post_date,weekday,total_engagement,engagement_rate
21,Instagram,Carousel,146,872,233,210,24310,14281,2024-01-21,Sunday,1315,5.409296585767174
22,Instagram,Video,148,567,381,475,13451,2435,2024-01-22,Monday,1423,10.579139097464871
23,Twitter,Video,77,525,293,418,9030,34339,2024-01-23,Tuesday,1236,13.687707641196011
24,Twitter,Carousel,141,758,154,347,24878,36150,2024-01-24,Wednesday,1259,5.060696197443525
25,Instagram,Carousel,20,1936,281,529,29335,26821,2024-01-25,Thursday,2746,9.360831770922108
26,Instagram,Text,258,1718,202,179,7440,27660,2024-01-26,Friday,2099,28.212365591397848
27,Instagram,Text,115,1943,74,182,12579,6084,2024-01-27,Saturday,2199,17.48151681373718
28,LinkedIn,Video,145,820,116,25,22652,17661,2024-01-28,Sunday,961,4.242450997704397
29,LinkedIn,Text,137,1510,8,180,16117,14507,2024-01-29,Monday,1698,10.535459452751752
30,LinkedIn,Image,67,1096,354,501,18104,8059,2024-01-30,Tuesday,1951,10.776623950508176
31,Twitter,Text,108,1046,335,161,8364,19271,2024-01-31,Wednesday,1542,18.436154949784793
32,LinkedIn,Text,256,1638,322,177,28145,8491,2024-02-01,Thursday,2137,7.592822881506485
33,Twitter,Image,291,726,354,285,16320,15859,2024-02-02,Friday,1365,8.363970588235293
34,Twitter,Video,208,763,99,63,29487,9073,2024-02-03,Saturday,925,3.1369756163733173
35,LinkedIn,Image,211,1531,156,156,25868,10077,2024-02-04,Sunday,1843,7.124632750889129
36,Twitter,Text,88,132,315,469,14537,21953,2024-02-05,Monday,916,6.301162550732613
37,LinkedIn,Video,297,1218,141,49,10123,12383,2024-02-06,Tuesday,1408,13.908920280549244
38,LinkedIn,Text,266,1158,251,84,16029,3353,2024-02-07,Wednesday,1493,9.314367708528293
39,Instagram,Image,95,1151,391,361,12513,24821,2024-02-08,Thursday,1903,15.208183489171262
40,LinkedIn,Image,173,506,247,148,9302,38567,2024-02-09,Friday,901,9.68608901311546
41,Instagram,Text,163,1951,35,342,26114,25860,2024-02-10,Saturday,2328,8.914758367159378
42,LinkedIn,Carousel,105,50,44,476,20425,22195,2024-02-11,Sunday,570,2.7906976744186047
43,LinkedIn,Carousel,204,100,233,63,1345,12939,2024-02-12,Monday,396,29.442379182156138
44,Instagram,Image,239,734,40,360,27837,26338,2024-02-13,Tuesday,1134,4.073714839961203
45,Instagram,Image,88,766,227,561,5146,22730,2024-02-14,Wednesday,1554,30.198212203653323
46,LinkedIn,Carousel,66,1845,10,327,10796,22427,2024-02-15,Thursday,2182,20.211189329381252
47,Twitter,Carousel,113,1519,326,141,28588,36196,2024-02-16,Friday,1986,6.946970756960963
48,Instagram,Text,257,498,224,215,16575,28083,2024-02-17,Saturday,937,5.653092006033183
49,Twitter,Text,223,930,79,435,14719,22510,2024-02-18,Sunday,1444,9.810449079421156
50,Twitter,Carousel,237,537,8,318,4610,8813,2024-02-19,Monday,863,18.720173535791755
51,Twitter,Text,58,1873,339,32,8006,32598,2024-02-20,Tuesday,2244,28.028978266300275
52,Instagram,Text,119,83,138,285,9805,28570,2024-02-21,Wednesday,506,5.160632330443652
53,Twitter,Video,273,1421,122,305,17171,28082,2024-02-22,Thursday,1848,10.762331838565023
54,Instagram,Text,241,144,373,429,13116,30241,2024-02-23,Friday,946,7.212564806343397
55,Twitter,Image,42,1145,98,477,19216,31678,2024-02-24,Saturday,1720,8.950874271440465
56,LinkedIn,Text,269,1624,66,286,29948,12745,2024-02-25,Sunday,1976,6.598103379190596
57,LinkedIn,Text,29,203,198,144,29789,27029,2024-02-26,Monday,545,1.8295343918896236
58,Instagram,Carousel,265,299,339,424,9236,14025,2024-02-27,Tuesday,1062,11.498484192291034
59,LinkedIn,Image,119,723,207,19,13784,37124,2024-02-28,Wednesday,949,6.88479396401625
60,LinkedIn,Text,199,487,396,18,1071,15288,2024-02-29,Thursday,901,84.12698412698413
61,Twitter,Text,242,167,30,590,20695,24650,2024-03-01,Friday,787,3.8028509301763713
62,Instagram,Video,269,820,177,371,18955,7540,2024-03-02,Saturday,1368,7.217093115273015
63,Twitter,Text,166,1964,304,175,26638,33232,2024-03-03,Sunday,2443,9.17110894211277
64,Twitter,Text,115,1379,137,194,11416,17422,2024-03-04,Monday,1710,14.978976874562019
65,Twitter,Video,276,317,330,502,5161,4342,2024-03-05,Tuesday,1149,22.263127300910675
66,Twitter,Carousel,23,1127,122,113,7869,42846,2024-03-06,Wednesday,1362,17.30842546702249
67,Twitter,Text,35,285,328,114,18104,36612,2024-03-07,Thursday,727,4.015687140963323
68,Twitter,Video,299,438,279,222,25374,11396,2024-03-08,Friday,939,3.7006384488058646
69,Twitter,Image,266,1039,216,264,4230,18482,2024-03-09,Saturday,1519,35.91016548463357
70,Instagram,Carousel,277,1807,229,55,21619,24411,2024-03-10,Sunday,2091,9.672047735787965
71,LinkedIn,Image,179,812,24,458,13476,14261,2024-03-11,Monday,1294,9.602255862273672
72,Twitter,Image,171,1898,117,162,11616,4093,2024-03-12,Tuesday,2177,18.741391184573004
73,Twitter,Video,197,450,144,380,20944,12722,2024-03-13,Wednesday,974,4.650496562261268
74,Twitter,Text,182,673,51,87,2850,23042,2024-03-14,Thursday,811,28.45614035087719
75,Twitter,Video,52,816,5,55,12492,29087,2024-03-15,Friday,876,7.012487992315082
76,Twitter,Video,198,1376,94,476,1965,33347,2024-03-16,Saturday,1946,99.03307888040712
77,Twitter,Video,120,968,146,178,25751,34756,2024-03-17,Sunday,1292,5.017280882295833
78,LinkedIn,Video,287,1280,324,391,2833,40214,2024-03-18,Monday,1995,70.42004941757854
79,LinkedIn,Carousel,84,1302,42,349,23651,17335,2024-03-19,Tuesday,1693,7.158259693036236
80,Twitter,Text,187,902,297,8,945,29602,2024-03-20,Wednesday,1207,127.72486772486774
81,LinkedIn,Image,62,1983,386,313,15069,35450,2024-03-21,Thursday,2682,17.798128608401353
82,Instagram,Image,63,627,143,443,21572,33196,2024-03-22,Friday,1213,5.623029853513814
83,Twitter,Text,31,124,360,328,8632,6626,2024-03-23,Saturday,812,9.406858202038924
84,Instagram,Image,114,484,337,54,25807,8424,2024-03-24,Sunday,875,3.3905529507497962
85,Instagram,Text,272,152,263,239,26080,13857,2024-03-25,Monday,654,2.507668711656442
86,Twitter,Image,261,1495,165,229,25357,20982,2024-03-26,Tuesday,1889,7.449619434475688
87,LinkedIn,Video,54,1777,394,579,15086,12425,2024-03-27,Wednesday,2750,18.22882142383667
88,Instagram,Image,234,813,182,51,3432,2980,2024-03-28,Thursday,1046,30.477855477855474
89,Twitter,Text,109,787,14,264,5294,27431,2024-03-29,Friday,1065,20.11711371363808
90,Instagram,Text,283,855,265,418,15952,20440,2024-03-30,Saturday,1538,9.641424272818455
91,Instagram,Text,112,1379,142,96,25240,42752,2024-03-31,Sunday,1617,6.40649762282092
92,Instagram,Text,109,147,176,88,24695,18175,2024-04-01,Monday,411,1.6643045150840252
93,Instagram,Text,134,1923,390,78,9955,27385,2024-04-02,Tuesday,2391,24.018081366147666
94,LinkedIn,Carousel,124,847,17,288,11226,39158,2024-04-03,Wednesday,1152,10.261892036344202
95,Instagram,Carousel,215,1408,172,120,11033,24019,2024-04-04,Thursday,1700,15.408320493066254
96,Instagram,Image,133,908,134,491,2628,19639,2024-04-05,Friday,1533,58.333333333333336
97,Instagram,Text,94,484,88,452,27484,20994,2024-04-06,Saturday,1024,3.7258041042060834
98,LinkedIn,Image,236,496,325,500,13060,35375,2024-04-07,Sunday,1321,10.114854517611025
99,Instagram,Text,296,1381,323,165,9930,22563,2024-04-08,Monday,1869,18.82175226586103
100,Instagram,Text,268,298,105,182,5605,40341,2024-04-09,Tuesday,585,10.437109723461194
101,LinkedIn,Carousel,183,215,333,469,1606,6776,2024-04-10,Wednesday,1017,63.325031133250306
102,LinkedIn,Carousel,211,1554,277,7,26839,37444,2024-04-11,Thursday,1838,6.8482432281381564
103,LinkedIn,Video,246,1033,269,330,24670,4380,2024-04-12,Friday,1632,6.615322253749493
104,Instagram,Carousel,196,1408,42,151,28791,9711,2024-04-13,Saturday,1601,5.56076551700184
105,LinkedIn,Video,118,1069,98,85,9002,9782,2024-04-14,Sunday,1252,13.908020439902243
106,LinkedIn,Video,55,591,99,147,2668,18434,2024-04-15,Monday,837,31.37181409295352
107,Instagram,Video,115,808,309,381,15361,21017,2024-04-16,Tuesday,1498,9.751969272833799
108,LinkedIn,Video,171,1179,73,548,16312,31707,2024-04-17,Wednesday,1800,11.034820990681707
109,Instagram,Video,170,1636,322,285,25062,40110,2024-04-18,Thursday,2243,8.949804484877504
110,Twitter,Image,209,130,240,82,15699,18343,2024-04-19,Friday,452,2.879164277979489
111,LinkedIn,Carousel,243,182,338,514,22874,39827,2024-04-20,Saturday,1034,4.52041619305762
112,Twitter,Video,56,846,377,523,25011,42652,2024-04-21,Sunday,1746,6.980928391507736
113,Instagram,Text,287,949,380,386,17020,6655,2024-04-22,Monday,1715,10.076380728554641
114,LinkedIn,Carousel,202,187,141,471,16734,16251,2024-04-23,Tuesday,799,4.774710170909525
115,Instagram,Carousel,32,233,80,119,6229,1526,2024-04-24,Wednesday,432,6.9353026167924225
116,Twitter,Video,298,1474,39,396,9876,4224,2024-04-25,Thursday,1909,19.329688132847306
117,Instagram,Image,236,1403,5,532,4364,12536,2024-04-26,Friday,1940,44.454628780934925
118,LinkedIn,Video,292,834,300,261,2189,29541,2024-04-27,Saturday,1395,63.72772955687529
119,LinkedIn,Image,81,1581,324,256,12393,14547,2024-04-28,Sunday,2161,17.437262971032034
120,Twitter,Text,103,1925,64,226,8074,35531,2024-04-29,Monday,2215,27.43373792420114
121,Instagram,Carousel,236,1033,324,53,29697,9712,2024-04-30,Tuesday,1410,4.747954338822103
122,LinkedIn,Text,206,118,353,500,18008,39565,2024-05-01,Wednesday,971,5.392047978676144
123,Twitter,Image,38,595,332,506,19449,10208,2024-05-02,Thursday,1433,7.3679880713661365
124,LinkedIn,Image,196,1847,271,364,18120,6109,2024-05-03,Friday,2482,13.697571743929359
125,LinkedIn,Text,119,102,365,280,28176,36201,2024-05-04,Saturday,747,2.651192504258944
126,Instagram,Image,252,1523,233,593,11545,17967,2024-05-05,Sunday,2349,20.346470333477697
127,LinkedIn,Text,95,254,274,158,23586,30759,2024-05-06,Monday,686,2.9085050453658954
128,Instagram,Carousel,284,175,320,59,14999,21172,2024-05-07,Tuesday,554,3.693579571971465
129,LinkedIn,Text,225,1820,290,128,21029,37935,2024-05-08,Wednesday,2238,10.64244614579866
130,Twitter,Carousel,242,92,295,115,16676,27589,2024-05-09,Thursday,502,3.0103142240345404
131,LinkedIn,Text,71,1825,217,209,18980,31015,2024-05-10,Friday,2251,11.859852476290833
132,Instagram,Image,163,1956,169,526,9045,30009,2024-05-11,Saturday,2651,29.309010503040355
133,Instagram,Text,88,160,9,521,8014,18773,2024-05-12,Sunday,690,8.609932617918641
134,Twitter,Image,118,810,343,552,1526,42125,2024-05-13,Monday,1705,111.73001310615989
135,LinkedIn,Text,44,1736,383,237,19920,27143,2024-05-14,Tuesday,2356,11.82730923694779
136,LinkedIn,Text,72,1256,82,281,14632,7154,2024-05-15,Wednesday,1619,11.06478950246036
137,Twitter,Video,170,897,66,359,12162,22804,2024-05-16,Thursday,1322,10.869922710080578
138,LinkedIn,Image,163,144,136,201,19097,42688,2024-05-17,Friday,481,2.518720217835262
139,LinkedIn,Video,76,1447,93,278,26972,21581,2024-05-18,Saturday,1818,6.740323298235207
140,Instagram,Image,58,1985,241,235,10906,31087,2024-05-19,Sunday,2461,22.565560242068585
141,LinkedIn,Video,128,1593,46,494,8457,33981,2024-05-20,Monday,2133,25.221709826179495
142,LinkedIn,Carousel,200,949,93,4,19650,4762,2024-05-21,Tuesday,1046,5.323155216284987
143,Twitter,Text,61,409,300,442,28113,10768,2024-05-22,Wednesday,1151,4.0941912993988545
144,Twitter,Image,205,949,332,29,26225,44408,2024-05-23,Thursday,1310,4.995233555767397
145,Instagram,Image,242,1769,299,109,27485,40499,2024-05-24,Friday,2177,7.9206840094597055
146,LinkedIn,Text,141,330,108,75,24496,39559,2024-05-25,Saturday,513,2.094219464402351
147,LinkedIn,Image,152,1268,18,146,15351,9783,2024-05-26,Sunday,1432,9.328382515797017
148,LinkedIn,Image,182,1937,292,128,25378,30781,2024-05-27,Monday,2357,9.287571912680274
149,Instagram,Video,234,1268,183,42,29631,31811,2024-05-28,Tuesday,1493,5.03864196280922
150,Instagram,Image,240,716,129,356,8706,36488,2024-05-29,Wednesday,1201,13.79508385021824
151,Twitter,Carousel,254,142,357,41,29445,9905,2024-05-30,Thursday,540,1.8339276617422313
152,Instagram,Carousel,165,721,27,34,22060,10127,2024-05-31,Friday,782,3.544877606527652
153,LinkedIn,Text,258,110,67,17,8087,23431,2024-06-01,Saturday,194,2.398911833807345
154,LinkedIn,Image,95,683,147,153,1692,7368,2024-06-02,Sunday,983,58.096926713947994
155,Instagram,Text,28,1124,157,378,11022,28424,2024-06-03,Monday,1659,15.051714752313556
156,LinkedIn,Carousel,93,1476,149,588,28536,19333,2024-06-04,Tuesday,2213,7.755116344266891
157,LinkedIn,Image,272,1862,229,599,27752,24116,2024-06-05,Wednesday,2690,9.692995099452292
158,Instagram,Image,249,1078,313,342,5475,44201,2024-06-06,Thursday,1733,31.652968036529682
159,Instagram,Text,26,1539,108,27,2733,16525,2024-06-07,Friday,1674,61.25137211855104
160,LinkedIn,Carousel,193,653,108,287,18564,24398,2024-06-08,Saturday,1048,5.645335057099763
161,LinkedIn,Image,160,731,43,168,12673,33857,2024-06-09,Sunday,942,7.433125542491911
162,LinkedIn,Text,187,1902,202,268,18474,11361,2024-06-10,Monday,2372,12.83966655840641
163,Twitter,Carousel,189,583,138,455,18824,17369,2024-06-11,Tuesday,1176,6.24734381640459
164,Twitter,Text,141,1478,71,401,14039,4041,2024-06-12,Wednesday,1950,13.88987819645274
165,Twitter,Video,213,887,395,476,24674,1105,2024-06-13,Thursday,1758,7.124908810894058
166,Instagram,Image,24,1586,183,558,11674,10078,2024-06-14,Friday,2327,19.933184855233854
167,Twitter,Video,48,694,46,576,26363,26003,2024-06-15,Saturday,1316,4.991844630732466
168,Instagram,Carousel,184,282,19,130,18402,7090,2024-06-16,Sunday,431,2.342136724269101
169,Instagram,Video,155,573,115,363,5816,39850,2024-06-17,Monday,1051,18.070839064649245
170,Twitter,Video,164,395,161,292,24065,2925,2024-06-18,Tuesday,848,3.523789736131311
171,Twitter,Carousel,236,1119,293,371,26731,19440,2024-06-19,Wednesday,1783,6.670158243238188
172,Twitter,Text,151,595,235,29,29641,40685,2024-06-20,Thursday,859,2.898012887554401
173,LinkedIn,Video,89,1151,161,149,29992,27015,2024-06-21,Friday,1461,4.871299013070153
174,Twitter,Text,271,1803,42,296,14574,34320,2024-06-22,Saturday,2141,14.69054480581858
175,LinkedIn,Video,294,1886,101,11,29511,26291,2024-06-23,Sunday,1998,6.77035681610247
176,Instagram,Text,201,1996,293,512,10552,37679,2024-06-24,Monday,2801,26.54473085670963
177,LinkedIn,Carousel,186,1146,258,113,26794,27289,2024-06-25,Tuesday,1517,5.661715309397626
178,Twitter,Video,110,843,200,187,18138,4389,2024-06-26,Wednesday,1230,6.781343036718492
179,Instagram,Carousel,221,298,90,227,16385,26683,2024-06-27,Thursday,615,3.753433018004272
180,Instagram,Video,38,96,326,310,26359,14629,2024-06-28,Friday,732,2.7770401001555447
181,Instagram,Carousel,58,1194,14,98,8091,25826,2024-06-29,Saturday,1306,16.14139166975652
182,LinkedIn,Carousel,145,263,9,55,1774,36198,2024-06-30,Sunday,327,18.432919954904172
183,Twitter,Video,192,288,127,406,4933,27630,2024-07-01,Monday,821,16.64301642002838
184,Instagram,Video,160,1129,334,69,15463,34226,2024-07-02,Tuesday,1532,9.907521179589988
185,Instagram,Video,261,399,357,312,22554,33975,2024-07-03,Wednesday,1068,4.735301942005853
186,Instagram,Image,239,156,122,289,4772,1899,2024-07-04,Thursday,567,11.881810561609388
187,LinkedIn,Text,145,880,298,548,6095,12653,2024-07-05,Friday,1726,28.318293683347008
188,LinkedIn,Image,77,97,163,148,14713,28961,2024-07-06,Saturday,408,2.7730578400054373
189,Twitter,Image,167,1646,307,467,9905,17405,2024-07-07,Sunday,2420,24.432104997476024
190,LinkedIn,Carousel,20,386,232,244,29925,9601,2024-07-08,Monday,862,2.880534670008354
191,Instagram,Video,209,1099,369,491,9028,34662,2024-07-09,Tuesday,1959,21.699158174568012
192,Twitter,Text,210,853,220,507,28763,34282,2024-07-10,Wednesday,1580,5.493168306504885
193,Instagram,Carousel,136,1330,188,365,10703,22288,2024-07-11,Thursday,1883,17.593198168737736
194,Instagram,Image,153,57,19,482,3820,30545,2024-07-12,Friday,558,14.607329842931938
195,LinkedIn,Video,77,674,161,201,9787,37877,2024-07-13,Saturday,1036,10.585470522121181
196,Twitter,Carousel,63,1940,140,154,21220,16313,2024-07-14,Sunday,2234,10.527803958529688
197,LinkedIn,Video,192,1326,265,450,22252,16349,2024-07-15,Monday,2041,9.17220923961891
198,LinkedIn,Carousel,179,1765,161,501,13680,8179,2024-07-16,Tuesday,2427,17.74122807017544
199,Twitter,Video,192,768,51,73,6033,11326,2024-07-17,Wednesday,892,14.785347256754516
200,Instagram,Image,168,352,328,296,28487,2560,2024-07-18,Thursday,976,3.4261241970021414
201,Instagram,Text,99,688,336,17,10316,14612,2024-07-19,Friday,1041,10.091120589375727
202,Twitter,Image,232,105,177,217,15359,18650,2024-07-20,Saturday,499,3.248909434207956
203,Instagram,Text,222,775,134,61,17501,27745,2024-07-21,Sunday,970,5.542540426261357
204,Twitter,Video,271,575,99,42,3196,32890,2024-07-22,Monday,716,22.40300375469337
205,Twitter,Carousel,248,523,119,25,19346,21022,2024-07-23,Tuesday,667,3.4477411351183704
206,LinkedIn,Image,183,77,247,39,19929,5780,2024-07-24,Wednesday,363,1.821466205027849
207,Twitter,Text,246,127,296,131,2391,19311,2024-07-25,Thursday,554,23.17022166457549
208,LinkedIn,Image,166,1289,286,498,12103,29380,2024-07-26,Friday,2073,17.12798479715773
209,Instagram,Text,39,1459,303,229,6983,3356,2024-07-27,Saturday,1991,28.51210081626808
210,Instagram,Image,66,414,287,108,21114,5790,2024-07-28,Sunday,809,3.831580941555366
211,Instagram,Text,252,715,73,172,27372,27911,2024-07-29,Monday,960,3.5072336694432265
212,Instagram,Text,33,575,152,435,2112,25363,2024-07-30,Tuesday,1162,55.01893939393939
213,LinkedIn,Video,162,748,15,478,26661,21049,2024-07-31,Wednesday,1241,4.654739132065564
214,Instagram,Text,20,1385,258,102,21495,11181,2024-08-01,Thursday,1745,8.11816701558502
215,Twitter,Video,73,932,334,524,8114,40825,2024-08-02,Friday,1790,22.060635937885138
216,Twitter,Text,278,1080,364,275,19567,17082,2024-08-03,Saturday,1719,8.78519957070578
217,Twitter,Carousel,163,1076,42,44,20423,1661,2024-08-04,Sunday,1162,5.68966361455222
218,LinkedIn,Carousel,31,1696,138,17,2939,38412,2024-08-05,Monday,1851,62.980605648179655
219,Instagram,Carousel,243,968,204,330,15488,3920,2024-08-06,Tuesday,1502,9.697830578512397
220,Instagram,Text,291,799,27,569,18888,26658,2024-08-07,Wednesday,1395,7.3856416772554
221,Instagram,Video,175,412,307,497,7724,15025,2024-08-08,Thursday,1216,15.743138270326257
222,LinkedIn,Video,27,1824,350,12,1162,9946,2024-08-09,Friday,2186,188.12392426850258
223,Twitter,Text,141,1581,306,318,19788,29706,2024-08-10,Saturday,2205,11.143117040630687
224,Twitter,Carousel,183,1347,367,592,27092,40004,2024-08-11,Sunday,2306,8.51173778237118
225,Instagram,Carousel,109,1579,222,216,14281,17309,2024-08-12,Monday,2017,14.123660808066663
226,Twitter,Video,155,855,145,339,29827,34120,2024-08-13,Tuesday,1339,4.489221175445066
227,Twitter,Carousel,205,788,108,81,21470,31027,2024-08-14,Wednesday,977,4.550535631113181
228,LinkedIn,Image,197,1956,214,485,4538,8005,2024-08-15,Thursday,2655,58.50594975760247
229,LinkedIn,Video,47,1088,115,374,3269,1956,2024-08-16,Friday,1577,48.2410523095748
230,LinkedIn,Carousel,239,1265,108,200,21979,35839,2024-08-17,Saturday,1573,7.156831520997316
231,LinkedIn,Video,60,1704,320,537,23334,9595,2024-08-18,Sunday,2561,10.975400702837062
232,Instagram,Image,247,534,175,466,16906,13803,2024-08-19,Monday,1175,6.95019519697149
233,LinkedIn,Video,211,77,360,89,17740,26963,2024-08-20,Tuesday,526,2.965050732807215
234,Twitter,Video,164,763,328,268,9817,37221,2024-08-21,Wednesday,1359,13.843332993786289
235,Instagram,Video,220,1112,137,571,3608,40443,2024-08-22,Thursday,1820,50.44345898004434
236,Twitter,Video,231,1346,380,489,17170,34723,2024-08-23,Friday,2215,12.900407687827606
237,Twitter,Image,239,1304,297,538,22334,40063,2024-08-24,Saturday,2139,9.577326049968658
238,Twitter,Text,259,135,332,47,15670,16282,2024-08-25,Sunday,514,3.280153158902361
239,LinkedIn,Video,65,1547,131,288,13513,5703,2024-08-26,Monday,1966,14.548952860208688
240,LinkedIn,Video,54,175,110,16,8361,7563,2024-08-27,Tuesday,301,3.6000478411673247
241,Instagram,Carousel,272,861,96,401,3519,26849,2024-08-28,Wednesday,1358,38.59050866723501
242,Instagram,Video,101,586,291,86,23690,32860,2024-08-29,Thursday,963,4.065006331785564
243,LinkedIn,Carousel,275,194,382,250,12500,32585,2024-08-30,Friday,826,6.608
244,Twitter,Text,216,1598,397,391,4541,23015,2024-08-31,Saturday,2386,52.543492622770316
245,Instagram,Image,29,1285,55,335,10566,13003,2024-09-01,Sunday,1675,15.852735188339958
246,LinkedIn,Image,261,74,33,519,4798,44585,2024-09-02,Monday,626,13.047102959566487
247,LinkedIn,Text,270,1653,300,137,27505,27958,2024-09-03,Tuesday,2090,7.598618433012179
248,LinkedIn,Image,24,1467,301,498,19587,27017,2024-09-04,Wednesday,2266,11.568897738295808
249,Twitter,Text,138,116,218,477,28705,12171,2024-09-05,Thursday,811,2.8252917610172443
250,LinkedIn,Text,84,282,271,594,16877,13201,2024-09-06,Friday,1147,6.796231557741304
